title,institution,year,image
Software Engineering Foundations to Core,Springboard,2024,springboard.png
Ultimate Rust Crash Course,Udemy,2024,rucc.jpg
Java Basics for Beginners, Udemy,2024,bjava.jpg
Ruby Programming for Everyone,Udemy,2024,ruby.jpg
Power of Perl: Basics & Advanced Programming,Udemy,2024,Power of Perl.png
Lua Programming Master the Fundementals,Udemy,2024,lua.png
Erlang: Complete Beginners Guide,Udemy,2024,erlang.png
C# for Beginners: Crash Course,Udemy,2024,csharp1.png
Erlang Masterclass: The Fundementals,Udemy,2024,erlangmast.png
IT Troubleshooting Skill Training,Udemy,2024,trouble.png
PHP: Web Development,Udemy,2024,php start.jpg
Embedded C: For Aspiring Embedded Developers,Udemy,2025,embC1.png