title;description;url;image
Property-Preservation-Plus; Project Overview Property Preservation Plus is a full-featured property management application. It allows users to manage properties, tenants, maintenance requests, leases, and financial records. The system also includes role-based access control and integrates weather data from the OpenWeather API.;https://github.com/notAnotherAverageJoe/Property-Preservation-Plus;PPP.png
Bit Buddy; BitBuddy is a cryptocurrency platform built with Flask that allows users to buy, sell, and stake cryptocurrencies, as well as providing access to real-time market data through blockchain and external APIs.;https://github.com/notAnotherAverageJoe/bit_buddy;big.jpg
GG-Giggle Gate;HiSinatra is a lightweight web application built with the Sinatra framework. It features user authentication, joke categories fetched from an external API, and the ability to save and manage favorite jokes. The project uses ActiveRecord for database management and BCrypt for secure password storage.;https://github.com/notAnotherAverageJoe/GG---GiggleGate-A-joke-paradise;gg.png
Distributed Food Ordering System in Erlang; Welcome to the Distributed Food Ordering System built in Erlang! 🚀 This project demonstrates a simple client-server architecture where a client can order food items from a server. Each order deducts from the client's balance until they run out of money. 🍲💸;https://github.com/notAnotherAverageJoe/Distributed-Food-Ordering-System-in-Erlang;EDF.png
Grocery Inventory Management System;Welcome to the Grocery Store Inventory Manager project! This application is built using Python and Streamlit, providing a seamless and interactive way to manage grocery store inventory across multiple categories🍏🍖🥦🍞.;https://github.com/notAnotherAverageJoe/Grocery_Inventory_Magement_System---GIMS;gims.png
PWA Dice Rolls app;Dice Roller is a PWA that can work offline once downloaded to your Ios or Android device. This allows users to continue using the server whether they have internet or not.;https://github.com/notAnotherAverageJoe/Dice-PWA;dicepwa.png
Pokedex-React;Welcome to your first generation Pokedex! This project is a React application that fetches and displays information about the first 151 Pokémon from the PokéAPI. Users can see each Pokémon's name and their first ability.;https://github.com/notAnotherAverageJoe/pokedex-react;pokedex.png
Loyalty Point Checkout System;Welcome to the Loyalty Point Checkout System! This project is a Ruby-based system for managing customer checkouts and rewards. The system prompts users for their information, processes their checkouts, and calculates rewards based on their purchases.;https://github.com/notAnotherAverageJoe/Loyalty-Points-Checkout-Program---Ruby;ruby.png
Jobly-Express;Jobly is a RESTful API for managing job listings and company information. It offers full CRUD operations and follows RESFTUL best practices.;https://github.com/notAnotherAverageJoe/jobly-express;jobly.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/notAnotherAverageJoe/Portfolio;2.png
Markov Text generator;Welcome to the Markov Text Generator! This project uses a Markov chain to generate random text based on an input file or URL.;https://github.com/notAnotherAverageJoe/markovJS/tree/main;markov.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/notAnotherAverageJoe/Pdf_generator;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/notAnotherAverageJoe/InvoicePDF_generator;4.png
React-Virtual-Pet;Welcome to the Virtual Pet Game! In this fun and interactive REACT game, you get to take care of your very own digital pet. Feed it, play with it, and ensure it stays happy and energetic!;https://github.com/notAnotherAverageJoe/Virtual-Pet-React;VP.png
Thai Food Yum Restaurant;Welcome to the Thai Food Yum Restaurant website project built with PHP! This repository contains the code for a fictional Thai restaurant's website, featuring delicious dishes and a user-friendly interface. 🍜🥗;https://github.com/notAnotherAverageJoe/Thai-food-php;thaifoodyum.png
Distance Converter;A program that will take take km's and convert them to miles and vice versa you can save the history of calcuations as well. It is a GUI tkinter app.;https://github.com/notAnotherAverageJoe/distance_converter_tkinter;distance.png
Minesweeper-Perl;Welcome to Minesweeper, the classic puzzle game built with Perl and Tk! Test your logic and reflexes as you uncover cells in a grid, avoiding hidden mines. 💣;https://github.com/notAnotherAverageJoe/Minesweeper-perl;msp.png
Statistical Calculator API;Welcome to the Statistical Calculator API! This project is a simple yet powerful RESTful API built with Node.js and Express.js. It provides endpoints to calculate the mean, median, and mode of a list of numbers.;https://github.com/notAnotherAverageJoe/Statistical-calculator-API;nodeapi.png
Real-time Cryptocurrency Price Dashboard;Welcome to the Real-time Cryptocurrency Price Dashboard! This Streamlit app allows users to track the latest prices and 24-hour changes of various cryptocurrencies. The app provides an intuitive and visually appealing interface for monitoring real-time cryptocurrency data;https://github.com/notAnotherAverageJoe/Crypto-Dashboard;crypto-dash.png
Adventurers Guild Registration System;Welcome to the Adventurers Guild Registration System! This project is a OOP focused Java application for registering adventurers, setting their ranks, and class specifications.;https://github.com/notAnotherAverageJoe/Adventurers-Guild---Java;guild.png
QR code Generator JS;This project is a simple QR code generator that takes a URL input from the user and generates a QR code image file (qr_img.png) and a text file (URL.txt) containing the URL.;https://github.com/notAnotherAverageJoe/QRcodeGenerator;qrcode.png
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/notAnotherAverageJoe/CLI_todos_python;1.png